Tamanho_N,Tempo_ms,Vertices_H
100,0,99
600,0,594
1100,0,1082
1600,0,1561
2100,0,2031
2600,1,2502
3100,1,2966
3600,1,3403
4100,1,3852
4600,1,4289
5100,1,4703
5600,2,5141
6100,2,5564
6600,2,5983
7100,2,6365
7600,2,6758
8100,2,7169
8600,3,7574
9100,3,7954
9600,3,8331
10100,3,8686
10600,3,9065
11100,4,9411
11600,3,9778
12100,4,10091
12600,4,10474
13100,5,10821
13600,4,11140
14100,5,11456
14600,5,11788
15100,5,12111
15600,5,12437
16100,5,12712
16600,6,13012
17100,6,13334
17600,7,13598
18100,5,13892
18600,6,14211
19100,4,14476
19600,8,14708
20100,11,15025
20600,4,15295
21100,6,15539
21600,5,15782
22100,10,16096
22600,8,16335
23100,8,16578
23600,10,16806
24100,6,17094
24600,5,17291
25100,10,17553
25600,11,17716
26100,9,18013
26600,13,18229
27100,9,18432
27600,12,18636
28100,10,18855
28600,13,19043
29100,14,19262
29600,15,19523
30100,7,19722
30600,3,19914
31100,14,20087
31600,14,20295
32100,12,20471
32600,11,20649
33100,12,20869
33600,12,21021
34100,13,21178
34600,13,21370
35100,13,21605
35600,14,21743
36100,14,21941
36600,14,22036
37100,14,22212
37600,14,22320
38100,15,22551
38600,15,22717
39100,15,22852
39600,15,22961
40100,15,23141
40600,16,23244
41100,16,23449
41600,16,23630
42100,16,23722
42600,16,23809
43100,19,23980
43600,17,24085
44100,17,24247
44600,18,24413
45100,18,24495
45600,21,24629
46100,19,24717
46600,18,24877
47100,17,24984
47600,19,25085
48100,19,25238
48600,21,25328
49100,19,25474
49600,22,25567
50100,20,25670
50600,20,25763
51100,22,25890
51600,21,26029
52100,21,26068
52600,21,26176
53100,21,26279
53600,22,26354
54100,23,26538
54600,23,26628
55100,23,26641
55600,22,26720
56100,23,26877
56600,24,26899
57100,24,27035
57600,24,27146
58100,24,27213
58600,24,27323
59100,24,27365
59600,24,27458
60100,25,27511
60600,27,27624
61100,25,27680
61600,27,27713
62100,27,27822
62600,26,27927
63100,26,27978
63600,27,28057
64100,28,28150
64600,27,28195
65100,28,28265
65600,28,28368
66100,31,28378
66600,29,28483
67100,29,28532
67600,29,28623
68100,30,28666
68600,30,28690
69100,29,28785
69600,29,28805
70100,32,28881
70600,30,28951
71100,39,29087
71600,34,29072
72100,35,29169
72600,38,29198
73100,34,29293
73600,39,29281
74100,31,29370
74600,32,29398
75100,31,29426
75600,33,29525
76100,32,29570
76600,32,29598
77100,33,29655
77600,32,29704
78100,34,29764
78600,33,29756
79100,33,29848
79600,34,29911
80100,38,29906
80600,37,29967
81100,43,29969
81600,37,30018
82100,36,30063
82600,33,30134
83100,31,30167
83600,43,30165
84100,33,30282
84600,43,30291
85100,38,30287
85600,44,30362
86100,42,30425
86600,37,30410
87100,37,30503
87600,38,30528
88100,44,30576
88600,32,30552
89100,31,30628
89600,38,30654
90100,40,30690
90600,36,30674
91100,37,30714
91600,39,30776
92100,39,30800
92600,39,30815
93100,40,30847
93600,40,30871
94100,40,30909
94600,41,30907
95100,42,30984
95600,41,30978
96100,41,30976
96600,47,31070
97100,41,31074
97600,43,31093
98100,39,31113
98600,39,31136
99100,46,31178
99600,40,31228
100100,46,31228
100600,44,31231
101100,45,31274
101600,42,31315
102100,44,31309
102600,44,31348
103100,44,31340
103600,45,31358
104100,45,31403
104600,46,31421
105100,45,31422
105600,46,31480
106100,46,31480
106600,45,31489
107100,45,31514
107600,48,31551
108100,44,31569
108600,50,31569
109100,48,31603
109600,48,31618
110100,48,31625
110600,48,31641
111100,48,31673
111600,49,31682
112100,48,31684
112600,53,31722
113100,56,31753
113600,46,31740
114100,48,31749
114600,52,31800
115100,50,31786
115600,52,31801
116100,51,31812
116600,51,31842
117100,52,31842
117600,56,31853
118100,52,31858
118600,52,31899
119100,52,31882
119600,52,31935
120100,53,31924
120600,53,31957
121100,53,31953
121600,54,31962
122100,54,31971
122600,53,32022
123100,53,32026
123600,55,32018
124100,55,32043
124600,55,32019
125100,55,32041
125600,56,32064
126100,56,32069
126600,56,32084
127100,51,32081
127600,62,32077
128100,59,32109
128600,56,32110
129100,58,32136
129600,53,32148
130100,59,32147
130600,58,32161
