Tamanho_N,Tempo_ms,Vertices_H
100,0,11
600,0,18
1100,0,16
1600,0,19
2100,0,19
2600,0,19
3100,0,25
3600,1,22
4100,1,22
4600,1,21
5100,1,24
5600,2,23
6100,2,24
6600,2,22
7100,2,23
7600,2,22
8100,3,22
8600,3,25
9100,3,22
9600,3,21
10100,3,24
10600,3,24
11100,4,24
11600,3,22
12100,4,24
12600,5,26
13100,5,26
13600,4,27
14100,5,26
14600,5,25
15100,5,24
15600,5,23
16100,6,25
16600,6,25
17100,6,25
17600,6,26
18100,6,26
18600,7,22
19100,7,24
19600,7,26
20100,8,26
20600,8,24
21100,8,28
21600,8,27
22100,8,26
22600,4,24
23100,12,26
23600,9,25
24100,10,25
24600,12,26
25100,6,27
25600,10,25
26100,12,26
26600,9,25
27100,7,26
27600,8,26
28100,12,25
28600,12,25
29100,11,27
29600,9,26
30100,13,29
30600,11,28
31100,9,27
31600,15,27
32100,14,28
32600,0,26
33100,5,25
33600,2,24
34100,12,24
34600,15,28
35100,15,26
35600,15,25
36100,12,27
36600,17,25
37100,15,23
37600,16,29
38100,16,26
38600,16,26
39100,16,27
39600,16,26
40100,16,25
40600,16,27
41100,17,29
41600,17,26
42100,17,26
42600,17,26
43100,18,24
43600,18,28
44100,18,27
44600,18,28
45100,18,28
45600,19,27
46100,19,28
46600,17,28
47100,21,28
47600,21,27
48100,21,29
48600,16,27
49100,17,26
49600,18,26
50100,23,28
50600,19,29
51100,23,28
51600,23,27
52100,24,26
52600,21,29
53100,21,27
53600,21,26
54100,19,27
54600,23,29
55100,24,27
55600,24,30
56100,24,28
56600,24,27
57100,25,27
57600,25,29
58100,25,26
58600,25,27
59100,25,25
59600,26,29
60100,25,29
60600,26,29
61100,26,27
61600,26,28
62100,26,30
62600,27,29
63100,25,28
63600,27,28
64100,27,28
64600,18,29
65100,28,26
65600,30,27
66100,29,29
66600,25,30
67100,30,27
67600,32,28
68100,31,29
68600,30,29
69100,30,28
69600,30,27
70100,31,29
70600,31,29
71100,31,27
71600,32,28
72100,31,30
72600,31,26
73100,32,28
73600,31,28
74100,32,28
74600,32,27
75100,37,28
75600,34,31
76100,36,26
76600,35,27
77100,31,28
77600,32,28
78100,35,27
78600,37,28
79100,28,28
79600,31,28
80100,34,28
80600,39,29
81100,33,27
81600,39,26
82100,38,28
82600,37,30
83100,37,30
83600,37,32
84100,37,29
84600,37,27
85100,38,28
85600,38,28
86100,38,29
86600,39,28
87100,39,28
87600,39,25
88100,39,28
88600,35,26
